"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CommonDataModelResearchStudy.website","CommonDataModelResearchStudy.website","","","",0,*,"","","","url {[]} {[]}
","A URL for a website that provides information about the research effort as a whole.","A URL for a website that provides information about the research effort as a whole.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.website",0,*,"",""
"CommonDataModelResearchStudy.totalParticipants","CommonDataModelResearchStudy.totalParticipants","","","",0,1,"","","","integer {[]} {[]}
","Number of total participants represented by the data in this study.","Number of total participants represented by the data in this study.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.totalParticipants",0,1,"",""
"CommonDataModelResearchStudy.studyFocus","CommonDataModelResearchStudy.studyFocus","","","",0,*,"","","","BackboneElement {[]} {[]}
","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"CommonDataModelResearchStudy.studyFocus.id","CommonDataModelResearchStudy.studyFocus.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CommonDataModelResearchStudy.studyFocus.extension","CommonDataModelResearchStudy.studyFocus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"CommonDataModelResearchStudy.studyFocus.modifierExtension","CommonDataModelResearchStudy.studyFocus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"CommonDataModelResearchStudy.studyFocus.term","CommonDataModelResearchStudy.studyFocus.term","","","",1,1,"","","","string {[]} {[]}
","The term used to describe the focus of the study. A valid MeSH is preferred.","The term used to describe the focus of the study. A valid MeSH is preferred.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus.term",1,1,"",""
"CommonDataModelResearchStudy.studyFocus.termSource","CommonDataModelResearchStudy.studyFocus.termSource","","","",0,1,"","","","string {[]} {[]}
","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.studyFocus.termSource",0,1,"",""
"CommonDataModelResearchStudy.enrollmentCriteria","CommonDataModelResearchStudy.enrollmentCriteria","","","",0,1,"","","","markdown {[]} {[]}
","EnrollmentCriteria describes the inclusion and exclusion criteria used to enroll participants in this study. This can be provided as a free text description, but may also be structured using bullets, tables, or other organizational methods.","EnrollmentCriteria describes the inclusion and exclusion criteria used to enroll participants in this study. This can be provided as a free text description, but may also be structured using bullets, tables, or other organizational methods.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.enrollmentCriteria",0,1,"",""
"CommonDataModelResearchStudy.population","CommonDataModelResearchStudy.population","","","",0,*,"","","","BackboneElement {[]} {[]}
","Population is a repeatable object that consists of sets of two fields. Population provides an overall description of the general population enrolled in the study, including basic demographics at a minimum and other useful population descriptors as appropriate.","Population is a repeatable object that consists of sets of two fields. Population provides an overall description of the general population enrolled in the study, including basic demographics at a minimum and other useful population descriptors as appropriate.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.population",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"CommonDataModelResearchStudy.population.id","CommonDataModelResearchStudy.population.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CommonDataModelResearchStudy.population.extension","CommonDataModelResearchStudy.population.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"CommonDataModelResearchStudy.population.modifierExtension","CommonDataModelResearchStudy.population.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"CommonDataModelResearchStudy.population.type","CommonDataModelResearchStudy.population.type","","","",1,1,"","","","string {[]} {[]}
","A term that specifies the population being described.","A term that specifies the population being described.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.population.type",1,1,"",""
"CommonDataModelResearchStudy.population.description","CommonDataModelResearchStudy.population.description","","","",0,1,"","","","string {[]} {[]}
","A free text field that provides more information about the population specified in PopulationType within the context of this researchStudy.","A free text field that provides more information about the population specified in PopulationType within the context of this researchStudy.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.population.description",0,1,"",""
"CommonDataModelResearchStudy.citation","CommonDataModelResearchStudy.citation","","","",0,*,"","","","string {[]} {[]}
","Provide any relevant information regarding how to cite this study. This can be as specific as including a full citation or as simple as a DOI.","Provide any relevant information regarding how to cite this study. This can be as specific as including a full citation or as simple as a DOI.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.citation",0,*,"",""
"CommonDataModelResearchStudy.publications","CommonDataModelResearchStudy.publications","","","",0,*,"","","","string {[]} {[]}
","Provide a list of publications that use this data. This may be updated to include new publications as they are created.","Provide a list of publications that use this data. This may be updated to include new publications as they are created.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.publications",0,*,"",""
"CommonDataModelResearchStudy.additionalDocumentation","CommonDataModelResearchStudy.additionalDocumentation","","","",0,*,"","","","string {[]} {[]}
","AdditionalDocumentation should be used to provide URLs, citations, or other appropriate references to technical documentation that is important for understanding the data included in this study. This can include data dictionaries, methods descriptions, github repositories, case report forms (CRFs), or any other relevant documentation.","AdditionalDocumentation should be used to provide URLs, citations, or other appropriate references to technical documentation that is important for understanding the data included in this study. This can include data dictionaries, methods descriptions, github repositories, case report forms (CRFs), or any other relevant documentation.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.additionalDocumentation",0,*,"",""
"CommonDataModelResearchStudy.consortium","CommonDataModelResearchStudy.consortium","","","",0,1,"","","","string {[]} {[]}
","If the data in this study was gathered as part of a consortial effort, list the consortium here.","If the data in this study was gathered as part of a consortial effort, list the consortium here.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.consortium",0,1,"",""
"CommonDataModelResearchStudy.acknowledgements","CommonDataModelResearchStudy.acknowledgements","","","",0,*,"","","","string {[]} {[]}
","Acknowledgements describes any attribution or acknowledgements relevant to the study.  This can include but is not limited to funding sources, organizational affiliations or sponsors.","Acknowledgements describes any attribution or acknowledgements relevant to the study.  This can include but is not limited to funding sources, organizational affiliations or sponsors.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.acknowledgements",0,*,"",""
"CommonDataModelResearchStudy.personnel","CommonDataModelResearchStudy.personnel","","","",0,*,"","","","BackboneElement {[]} {[]}
","Every study must have at least one Primary Contact defined. Additional personnel such as Primary Investigator(s), Administrator(s), Collaborator(s) or other roles may also be included. If there are no appropriate individuals who can serve as primary contact for a study, an organization may be provided.","Every study must have at least one Primary Contact defined. Additional personnel such as Primary Investigator(s), Administrator(s), Collaborator(s) or other roles may also be included. If there are no appropriate individuals who can serve as primary contact for a study, an organization may be provided.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.personnel",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"CommonDataModelResearchStudy.personnel.id","CommonDataModelResearchStudy.personnel.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CommonDataModelResearchStudy.personnel.extension","CommonDataModelResearchStudy.personnel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"CommonDataModelResearchStudy.personnel.modifierExtension","CommonDataModelResearchStudy.personnel.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"CommonDataModelResearchStudy.personnel.name","CommonDataModelResearchStudy.personnel.name","","","",1,1,"","","","HumanName {[]} {[]}
","The name of the person being described.","The name of the person being described.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.personnel.name",1,1,"",""
"CommonDataModelResearchStudy.personnel.role","CommonDataModelResearchStudy.personnel.role","","","",1,1,"","","","code {[]} {[]}
","The role of the person being described.","The role of the person being described.","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-personnel-role-vs","",,,,"CommonDataModelResearchStudy.personnel.role",1,1,"",""
"CommonDataModelResearchStudy.personnel.organization","CommonDataModelResearchStudy.personnel.organization","","","",0,1,"","","","string {[]} {[]}
","The organizational affiliation of the person being described.","The organizational affiliation of the person being described.","","","","","","","","","",,,,,"",,,,"CommonDataModelResearchStudy.personnel.organization",0,1,"",""
